Year,Lead
1920,73.98741
1921,47.244343
1922,63.64443
1923,79.33197
1924,88.2332
1925,95.84483
1926,88.61188
1927,72.491394
1928,68.50705
1929,74.27039
1930,61.570866
1931,51.858753
1932,43.364323
1933,55.622505
1934,53.83627
1935,55.07985
1936,63.300682
1937,77.95801
1938,62.664387
1939,67.72461
1940,68.77306
1941,73.21823
1942,74.05004
1943,69.988045
1944,68.79507
1945,67.26629
1946,77.312
1947,122.318016
1948,139.54817
1949,119.965126
1950,102.88117
1951,125.47258
1952,115.55251
1953,93.93757
1954,97.364204
1955,105.30706
1956,109.72026
1957,97.00776
1958,77.999146
1959,77.99744
1960,75.150246
1961,67.67357
1962,59.278866
1963,67.768265
1964,81.64087
1965,94.43538
1966,86.76581
1967,78.0772
1968,70.70891
1969,75.687096
1970,74.91119
1971,63.455532
1972,66.89694
1973,68.26449
1974,85.07389
1975,74.48793
1976,75.569084
1977,94.35009
1978,96.10632
1979,135.14165
1980,95.935585
1981,69.68362
1982,49.37489
1983,37.275414
1984,37.131176
1985,31.694504
1986,32.30869
1987,45.824844
1988,48.369427
1989,47.352276
1990,54.065422
1991,35.750347
1992,33.8167
1993,24.607622
1994,32.32055
1995,36.045185
1996,43.06919
1997,33.887234
1998,28.21852
1999,26.290752
2000,23.02321
2001,23.479668
2002,21.944296
2003,24.394869
2004,40.75561
2005,43.55113
2006,55.788754
2007,108.58426
2008,84.87312
2009,69.96104
2010,85.99549
2011,93.16456
2012,78.458824
2013,80.18131
2014,77.26816
2015,65.846115
2016,67.89311
2017,82.43189
2018,77.88604
2019,68.17089
2020,61.552856
